CPR;EMAIL;DESCRIPTION
1111110000;1@tv3.com;HOME
1111110000;2@tv3.com;WORK
1111120001;3@tv3.com;HOME
1111120001;4@tv3.com;WORK
1111130002;5@tv3.com;HOME
1111130002;6@tv3.com;WORK
1111140003;7@tv3.com;HOME
1111140003;8@tv3.com;WORK
1111150004;9@tv3.com;HOME
1111150004;10@tv3.com;WORK
1111160005;11@tv3.com;HOME
1111160005;12@tv3.com;WORK
1111170006;13@tv3.com;HOME
1111170006;14@tv3.com;WORK
1111180007;15@tv3.com;HOME
1111180007;16@tv3.com;WORK
1111190008;17@tv3.com;HOME
1111190008;18@tv3.com;WORK
1111200009;19@tv3.com;HOME
1111200009;20@tv3.com;WORK
1111210010;21@tv3.com;HOME
1111210010;22@tv3.com;WORK
1111220011;23@tv3.com;HOME
1111220011;24@tv3.com;WORK
1111230012;25@tv3.com;HOME
1111230012;26@tv3.com;WORK
1111240013;27@tv3.com;HOME
1111240013;28@tv3.com;WORK
1111250014;29@tv3.com;HOME
1111250014;30@tv3.com;WORK
1111260015;31@tv3.com;HOME
1111260015;32@tv3.com;WORK
1111270016;33@tv3.com;HOME
1111270016;34@tv3.com;WORK
1111280017;35@tv3.com;HOME
1111280017;36@tv3.com;WORK
1111290018;37@tv3.com;HOME
1111290018;38@tv3.com;WORK
1111300019;39@tv3.com;HOME
1111300019;40@tv3.com;WORK
1111310020;41@tv3.com;HOME
1111310020;42@tv3.com;WORK
1111320021;43@tv3.com;HOME
1111320021;44@tv3.com;WORK
1111330022;45@tv3.com;HOME
1111330022;46@tv3.com;WORK
1111340023;47@tv3.com;HOME
1111340023;48@tv3.com;WORK
1111350024;49@tv3.com;HOME
1111350024;50@tv3.com;WORK
1111360025;51@tv3.com;HOME
1111360025;52@tv3.com;WORK
1111370026;53@tv3.com;HOME
1111370026;54@tv3.com;WORK
1111380027;55@tv3.com;HOME
1111380027;56@tv3.com;WORK
1111390028;57@tv3.com;HOME
1111390028;58@tv3.com;WORK
1111400029;59@tv3.com;HOME
1111400029;60@tv3.com;WORK
1111410030;61@tv3.com;HOME
1111410030;62@tv3.com;WORK
1111420031;63@tv3.com;HOME
1111420031;64@tv3.com;WORK
1111430032;65@tv3.com;HOME
