CPR;FIRSTNAME;LASTNAME;STREETNAME;STREETNUMBER;CIVIC;CITY;ZIPCODE;COUNTRY
1111110000;HAZEL;EDWARD;WESTFIELD AVENUE;85;7736;Norfolk;12660;USA
1111120001;HENNY;ELI;BASES LANE;29;120;Norfolk;19107;USA
1111130002;HINDY;ELIAS;RUSSELL CLOSE;92;785;Norfolk;17315;USA
1111140003;IDY;ELIJAH;DOGGER LANE;78;267;Norfolk;16209;USA
1111150004;ILANA;EMMANUEL;CHAPEL YARD;92;680;Norfolk;10679;USA
1111160005;Jared;ERIC;BLACKHORSE YARD;85;2171;Norfolk;15222;USA
1111170006;ISABEL;ETHAN;RED LION YARD;43;7484;Norfolk;16398;USA
1111180007;ISABELLA;EVAN;JICKLINGS YARD;99;9899;Norfolk;19184;USA
1111190008;ISABELLE;GABRIEL;THEATRE ROAD;85;5279;Norfolk;19618;USA
1111200009;ISLA;GAVIN;NEWGATE LANE;64;6973;Norfolk;10819;USA
1111210010;IVY;GEORGE;CLUBBS LANE;22;7820;Norfolk;10651;USA
1111220011;IZABELLA;GIOVANNI;GALES ROAD;78;729;Norfolk;14690;USA
1111230012;JACQUELINE;HASSAN;GALES COURT;29;1205;Norfolk;11463;USA
1111240013;JANE;HAYDEN;SOUTHGATE CLOSE;29;9920;Norfolk;19037;USA
1111250014;JASMINE;HUNTER;SOUTHGATE CLOSE;36;8737;Norfolk;19149;USA
1111260015;JENNA;IAN;THE BUTTLANDS;85;5335;Norfolk;12821;USA
1111270016;JESSICA;SERENA;THE BUTTLANDS;15;8100;Norfolk;10035;USA
1111280017;JORDYN;IBRAHIMA;THE BUTTLANDS;22;6665;Norfolk;18666;USA
1111290018;JOSEPHINE;ISAAC;THE BUTTLANDS;15;1184;Norfolk;14557;USA
1111300019;JOYCE;ISAIAH;GREEN DRAGON LANE;50;6301;Norfolk;19975;USA
1111310020;JULIA;ISHMAEL;CHANCERY LANE;15;5762;Norfolk;13087;USA
1111320021;JULIANA;ISIAH;PLUMMERS HILL;1;5811;Norfolk;17805;USA
1111330022;JULIANNA;JACE;STAITHE STREET;64;2325;Norfolk;12394;USA
1111340023;JULIE;JACKSON;BOLTS CLOSE;64;8303;Norfolk;18484;USA
1111350024;JULIET;JACOB;HIGH STREET;29;4572;Norfolk;14305;USA
1111360025;JULIETTE;JADEN;EAST END;78;3564;Norfolk;17364;USA
1111370026;KAITLYN;JAHEIM;JOLLY SAILOR YARD;8;5993;Norfolk;10742;USA
1111380027;ARELY;JAHMIR;NORTHFIELD LANE;43;1058;Norfolk;15607;USA
1111390028;KATE;JAIDEN;NORTHFIELD LANE;71;4005;Norfolk;10252;USA
1111400029;KATHERINE;JALEN;NORTHFIELD LANE;8;3865;Norfolk;18218;USA
1111410030;KATHRYN;JAMAL;NORTHFIELD WAYE;22;6322;Norfolk;19912;USA
1111420031;KAYLA;JAMEL;NORTHFIELD AVENUE;43;7757;Norfolk;17161;USA
1111430032;KAYLEE;JAMES;NORTHFIELD AVENUE;57;3410;Norfolk;16174;USA
1111440033;KIRA;JAMIR;NORTHFIELD CRESCENT;36;7526;Norfolk;13815;USA
1111450034;KYLIE;JARED;KNITTING NEEDLE LANE;92;8583;Norfolk;16748;USA
1111460035;LAILA;JASIAH;NEILSEN CLOSE;50;5986;Norfolk;17189;USA
1111470036;LARA;JASON;MARYLAND;50;7428;Norfolk;16363;USA
1111480037;LAURA;JAYDEN;MARKET LANE;36;6140;Norfolk;10028;USA
1111490038;LAUREN;JAYLEN;WAVENEY CLOSE;1;9185;Norfolk;15628;USA
1111500039;LAYLA;JAYSON;WAVENEY CLOSE;85;6560;Norfolk;12401;USA
1111510040;LEA;JELANI;WAVENEY CLOSE;29;7561;Norfolk;17427;USA
