CPR;PHONENUM;DESCRIPTION
1111110000;10751070;HOME
1111110000;17702180;WORK
1111120001;19267580;HOME
1111120001;16786170;WORK
1111130002;10798240;HOME
1111130002;13165000;WORK
1111140003;13737030;HOME
1111140003;12097000;WORK
1111150004;15130760;HOME
1111150004;10277780;WORK
1111160005;17203900;HOME
1111160005;18255080;WORK
1111170006;11721140;HOME
1111170006;16445780;WORK
1111180007;12614550;HOME
1111180007;17051400;WORK
1111190008;12087950;HOME
1111190008;15593910;WORK
1111200009;15319750;HOME
1111200009;13437690;WORK
1111210010;14860390;HOME
1111210010;12272550;WORK
1111220011;11970880;HOME
1111220011;13820020;WORK
1111230012;18319140;HOME
1111230012;19773490;WORK
1111240013;13626160;HOME
1111240013;13356020;WORK
1111250014;11438510;HOME
1111250014;14974810;WORK
1111260015;17845650;HOME
1111260015;16817530;WORK
1111270016;12517170;HOME
1111270016;18094010;WORK
1111280017;11150190;HOME
1111280017;13659190;WORK
1111290018;13929190;HOME
1111290018;19874290;WORK
1111300019;12044270;HOME
1111300019;13843530;WORK
1111310020;15227560;HOME
1111310020;11991140;WORK
1111320021;10786340;HOME
1111320021;14744990;WORK
1111330022;12303150;HOME
1111330022;11209370;WORK
1111340023;19500000;HOME
1111340023;11104270;WORK
1111350024;12071390;HOME
1111350024;17719990;WORK
1111360025;17714390;HOME
1111360025;17956930;WORK
1111370026;10870770;HOME
1111370026;16968570;WORK
1111380027;11140320;HOME
1111380027;13048360;WORK
1111390028;15887000;HOME
1111390028;17777670;WORK
1111400029;11105730;HOME
1111400029;10720410;WORK
1111410030;13310440;HOME
1111410030;19653950;WORK
1111420031;12009030;HOME
1111420031;13734570;WORK
1111430032;18965710;HOME
1111430032;17942590;WORK
1111440033;11587320;HOME
1111440033;14714280;WORK
1111450034;11804160;HOME
1111450034;12846280;WORK
1111460035;16311430;HOME
1111460035;17205190;WORK
1111470036;17303220;HOME
1111470036;13029790;WORK
1111480037;19163360;HOME
1111480037;16933640;WORK
1111490038;14523420;HOME
1111490038;15691940;WORK
1111500039;11902470;HOME
1111500039;15129370;WORK
1111510040;12384850;HOME
1111510040;13841630;WORK
1111520041;10683310;HOME
1111520041;14012930;WORK
1111530042;18820990;HOME
1111530042;18382260;WORK
1111540043;13867840;HOME
1111540043;13278000;WORK
1111550044;15566130;HOME
1111550044;13246830;WORK
1111560045;14650140;HOME
1111560045;18214880;WORK
1111570046;17337000;HOME
1111570046;19686900;WORK
1111580047;18172510;HOME
1111580047;14715820;WORK
1111590048;18331780;HOME
1111590048;12902600;WORK
1111600049;14338270;HOME
1111600049;10660120;WORK
1111610050;12521260;HOME
1111610050;16413040;WORK
1111620051;17443290;HOME
1111620051;14761390;WORK
1111630052;11691200;HOME
1111630052;14490540;WORK
1111640053;18144560;HOME
1111640053;16606840;WORK
1111650054;15901060;HOME
1111650054;18623640;WORK
1111660055;19609190;HOME
1111660055;19906770;WORK
1111670056;10189810;HOME
1111670056;17838720;WORK
1111680057;10513750;HOME
1111680057;11875410;WORK
1111690058;11860960;HOME
1111690058;13309860;WORK
1111700059;16532200;HOME
1111700059;18692490;WORK
1111710060;13356230;HOME
1111710060;13854890;WORK
1111720061;19846870;HOME
1111720061;16865870;WORK
1111730062;11868160;HOME
1111730062;15204030;WORK
1111740063;13488040;HOME
1111740063;11250150;WORK
1111750064;11389470;HOME
1111750064;16057620;WORK
1111760065;13222210;HOME
1111760065;17974550;WORK
1111770066;19910480;HOME
1111770066;19352310;WORK
1111780067;19779470;HOME
1111780067;13131460;WORK
1111790068;13505370;HOME
1111790068;11732000;WORK
1111800069;18968880;HOME
1111800069;18083960;WORK
1111810070;14841370;HOME
1111810070;17162430;WORK
1111820071;19573920;HOME
1111820071;13661760;WORK
1111830072;13789750;HOME
1111830072;12585470;WORK
1111840073;12917780;HOME
1111840073;10751100;WORK
1111850074;16260020;HOME
1111850074;17239220;WORK
1111860075;10108630;HOME
1111860075;17690290;WORK
1111870076;16716690;HOME
1111870076;11017720;WORK
1111880077;19955930;HOME
1111880077;18979510;WORK
1111890078;15324490;HOME
1111890078;19988380;WORK
1111900079;15417280;HOME
1111900079;18862760;WORK
1111910080;13410100;HOME
1111910080;18861810;WORK
1111920081;10591910;HOME
1111920081;13392250;WORK
1111930082;18361780;HOME
1111930082;18054330;WORK
1111940083;17634540;HOME
1111940083;16732520;WORK
1111950084;17261550;HOME
1111950084;11712980;WORK
1111960085;13051190;HOME
1111960085;10278830;WORK
1111970086;10271540;HOME
1111970086;18491140;WORK
1111980087;15113940;HOME
1111980087;12271920;WORK
1111990088;13079300;HOME
1111990088;11888110;WORK
1112000089;17741520;HOME
1112000089;15324990;WORK
1112010090;19754850;HOME
1112010090;13748750;WORK
1112020091;10533830;HOME
1112020091;14109140;WORK
1112030092;11874480;HOME
1112030092;10216400;WORK
1112040093;13751720;HOME
1112040093;19832650;WORK
1112050094;17954140;HOME
1112050094;18917450;WORK
1112060095;14653190;HOME
1112060095;18155970;WORK
1112070096;16794430;HOME
1112070096;19965200;WORK
1112080097;17621420;HOME
1112080097;13198250;WORK
1112090098;18150750;HOME
1112090098;12934240;WORK
1112100099;14398100;HOME
1112100099;12815740;WORK
