TOPICTITLE;CPR;ROLE
war in ukraine;1111110000;Cheif editor
war in ukraine;1111120001;editor
war in ukraine;1111130002;senior advisor
war in ukraine;1111140003;advisor
new governent;1111150004;Cheif editor
new governent;1111160005;editor
new governent;1111170006;senior advisor
new governent;1111180007;advisor
israel protest;1111190008;Cheif editor
israel protest;1111200009;editor
israel protest;1111210010;senior advisor
israel protest;1111220011;advisor
super hospitals;1111230012;Cheif editor
super hospitals;1111240013;editor
super hospitals;1111250014;senior advisor
super hospitals;1111260015;advisor
human rights;1111270016;Cheif editor
human rights;1111280017;editor
human rights;1111290018;senior advisor
human rights;1111300019;advisor
