Title;Date_of_Rec;Duration;CPR:;
Isreal tour;2018-12-12 12:00:00;28;1111110000;
Black saves kitten;2013-10-12 12:00:01;29;1111120001;
Shooters gone wild;2020-09-12 12:00:02;18;1111130002;
Police shoots unarmed children;2022-05-12 12:00:03;14;1111140003;
Police want more money to protect cops from false accusations;2022-02-12 12:00:04;12;1111150004;
Health care getting more expensive;2018-01-12 12:00:05;24;1111160005;
Server center tour;2021-06-12 12:00:06;29;1111170006;
government footage;2011-08-12 12:00:07;22;1111180007;
DTU Students is overworked;2018-09-12 12:00:08;10;1111190008;
DTU Students has too many assignments;2018-10-12 12:00:09;20;1111200009;
